=========================================
RUN METADATA
=========================================
--- MongoDB ---
id   pipeline_name   run_id                    query_name   execution_time   batch_size   total_records   num_batches   avg_batch_size       malformed_count   executed_at             
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
4    MongoDB         mongodb-20260428-151122   query1       0.887            50000        3461613         70            49451.614285714284   1                 2026-04-28 15:11:53.0   
5    MongoDB         mongodb-20260428-151122   query2       2.405            50000        3461613         70            49451.614285714284   1                 2026-04-28 15:11:56.0   
6    MongoDB         mongodb-20260428-151122   query3       1.04             50000        3461613         70            49451.614285714284   1                 2026-04-28 15:11:57.0   

--- MapReduce ---
id   pipeline_name   run_id                      query_name   execution_time   batch_size   total_records   num_batches   avg_batch_size       malformed_count   executed_at             
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1    MapReduce       mapreduce-20260428-151021   query1       5.655            50000        3461613         70            49451.614285714284   1                 2026-04-28 15:10:43.0   
2    MapReduce       mapreduce-20260428-151021   query2       5.266            50000        3461613         70            49451.614285714284   1                 2026-04-28 15:10:49.0   
3    MapReduce       mapreduce-20260428-151021   query3       5.235            50000        3461613         70            49451.614285714284   1                 2026-04-28 15:10:54.0   

--- ApachePig ---
N/A

--- ApacheHive ---
N/A


=========================================
QUERY 1 RESULTS (Daily Traffic Summary)
=========================================
--- MongoDB ---
id    pipeline_name   run_id                    execution_time   log_date     status_code   request_count   total_bytes   
--------------------------------------------------------------------------------------------------------------------------
296   MongoDB         mongodb-20260428-151122   0.887            1995-07-01   200           58033           1617409574    
297   MongoDB         mongodb-20260428-151122   0.887            1995-07-01   302           2568            218465        
298   MongoDB         mongodb-20260428-151122   0.887            1995-07-01   304           3797            0             
299   MongoDB         mongodb-20260428-151122   0.887            1995-07-01   404           316             0             
300   MongoDB         mongodb-20260428-151122   0.887            1995-07-02   200           54492           1531584293    
301   MongoDB         mongodb-20260428-151122   0.887            1995-07-02   302           2370            195795        
302   MongoDB         mongodb-20260428-151122   0.887            1995-07-02   304           3107            0             
303   MongoDB         mongodb-20260428-151122   0.887            1995-07-02   403           5               0             
304   MongoDB         mongodb-20260428-151122   0.887            1995-07-02   404           291             0             
305   MongoDB         mongodb-20260428-151122   0.887            1995-07-03   200           81351           2085066566    
306   MongoDB         mongodb-20260428-151122   0.887            1995-07-03   302           3122            261797        
307   MongoDB         mongodb-20260428-151122   0.887            1995-07-03   304           4582            0             
308   MongoDB         mongodb-20260428-151122   0.887            1995-07-03   403           2               0             
309   MongoDB         mongodb-20260428-151122   0.887            1995-07-03   404           474             0             
310   MongoDB         mongodb-20260428-151122   0.887            1995-07-03   500           53              0             
311   MongoDB         mongodb-20260428-151122   0.887            1995-07-04   200           63069           1744266570    
312   MongoDB         mongodb-20260428-151122   0.887            1995-07-04   302           2513            206813        
313   MongoDB         mongodb-20260428-151122   0.887            1995-07-04   304           4507            0             
314   MongoDB         mongodb-20260428-151122   0.887            1995-07-04   403           4               0             
315   MongoDB         mongodb-20260428-151122   0.887            1995-07-04   404           359             0             
316   MongoDB         mongodb-20260428-151122   0.887            1995-07-05   200           85080           2050959436    
317   MongoDB         mongodb-20260428-151122   0.887            1995-07-05   302           3349            282418        
318   MongoDB         mongodb-20260428-151122   0.887            1995-07-05   304           5646            0             
319   MongoDB         mongodb-20260428-151122   0.887            1995-07-05   403           2               0             
320   MongoDB         mongodb-20260428-151122   0.887            1995-07-05   404           497             0             
321   MongoDB         mongodb-20260428-151122   0.887            1995-07-05   501           1               0             
322   MongoDB         mongodb-20260428-151122   0.887            1995-07-06   200           91643           2218747557    
323   MongoDB         mongodb-20260428-151122   0.887            1995-07-06   302           3197            264274        
324   MongoDB         mongodb-20260428-151122   0.887            1995-07-06   304           5475            0             
325   MongoDB         mongodb-20260428-151122   0.887            1995-07-06   403           5               0             
326   MongoDB         mongodb-20260428-151122   0.887            1995-07-06   404           640             0             
327   MongoDB         mongodb-20260428-151122   0.887            1995-07-07   200           79024           1952114462    
328   MongoDB         mongodb-20260428-151122   0.887            1995-07-07   302           2415            182335        
329   MongoDB         mongodb-20260428-151122   0.887            1995-07-07   304           5222            0             
330   MongoDB         mongodb-20260428-151122   0.887            1995-07-07   403           1               0             
331   MongoDB         mongodb-20260428-151122   0.887            1995-07-07   404           570             0             
332   MongoDB         mongodb-20260428-151122   0.887            1995-07-07   501           1               0             
333   MongoDB         mongodb-20260428-151122   0.887            1995-07-08   200           35663           928098746     
334   MongoDB         mongodb-20260428-151122   0.887            1995-07-08   302           702             47998         
335   MongoDB         mongodb-20260428-151122   0.887            1995-07-08   304           2200            0             
336   MongoDB         mongodb-20260428-151122   0.887            1995-07-08   404           302             0             
337   MongoDB         mongodb-20260428-151122   0.887            1995-07-09   200           32101           754147151     
338   MongoDB         mongodb-20260428-151122   0.887            1995-07-09   302           562             33273         
339   MongoDB         mongodb-20260428-151122   0.887            1995-07-09   304           2261            0             
340   MongoDB         mongodb-20260428-151122   0.887            1995-07-09   404           348             0             
341   MongoDB         mongodb-20260428-151122   0.887            1995-07-10   200           65970           1376570168    
342   MongoDB         mongodb-20260428-151122   0.887            1995-07-10   302           1472            101439        
343   MongoDB         mongodb-20260428-151122   0.887            1995-07-10   304           5018            0             
344   MongoDB         mongodb-20260428-151122   0.887            1995-07-10   400           1               0             
345   MongoDB         mongodb-20260428-151122   0.887            1995-07-10   404           398             0             
346   MongoDB         mongodb-20260428-151122   0.887            1995-07-10   500           1               0             
347   MongoDB         mongodb-20260428-151122   0.887            1995-07-11   200           72006           1387859360    
